aug_type,recipe,n_seeds,macro_f1_mean,macro_f1_ci_lo,macro_f1_ci_hi,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,ece_mean,ece_ci_lo,ece_ci_hi,belly_pain_recall_mean,belly_pain_recall_ci_lo,belly_pain_recall_ci_hi,burping_recall_mean,burping_recall_ci_lo,burping_recall_ci_hi,discomfort_recall_mean,discomfort_recall_ci_lo,discomfort_recall_ci_hi,hungry_recall_mean,hungry_recall_ci_lo,hungry_recall_ci_hi,tired_recall_mean,tired_recall_ci_lo,tired_recall_ci_hi
none,weighted_ce,3,0.1935,0.1785,0.22,0.7971,0.7826,0.8116,0.2852,0.2752,0.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.25,0.9425,0.931,0.9655,0.0,0.0,0.0
none,balanced,3,0.1913,0.1609,0.2329,0.5072,0.4493,0.5652,0.2011,0.0791,0.2908,0.1111,0.0,0.3333,0.0,0.0,0.0,0.5,0.5,0.5,0.5632,0.5,0.6379,0.0,0.0,0.0
none,focal,3,0.2126,0.1767,0.2393,0.7874,0.7681,0.8116,0.354,0.3317,0.3965,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.9196,0.8966,0.9483,0.0,0.0,0.0
classical,weighted_ce,3,0.1799,0.1744,0.1827,0.8068,0.7391,0.8406,0.4177,0.3414,0.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9598,0.8793,1.0,0.0,0.0,0.0
classical,balanced,3,0.205,0.1651,0.2368,0.6377,0.5362,0.7826,0.2852,0.2054,0.3839,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.5,0.7299,0.6207,0.9138,0.1111,0.0,0.3333
classical,focal,3,0.1866,0.1752,0.2006,0.7778,0.7391,0.8261,0.3448,0.3015,0.4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.25,0.9196,0.8621,0.9828,0.0,0.0,0.0
generative,weighted_ce,3,0.2575,0.1827,0.3631,0.8164,0.7826,0.8406,0.3519,0.3461,0.3601,0.0,0.0,0.0,0.6667,0.0,1.0,0.1667,0.0,0.5,0.9483,0.9138,1.0,0.0,0.0,0.0
generative,balanced,3,0.1954,0.1695,0.2196,0.5845,0.5072,0.7101,0.2257,0.1751,0.2856,0.0,0.0,0.0,0.3333,0.0,1.0,0.4167,0.25,0.5,0.6609,0.569,0.8276,0.0,0.0,0.0
generative,focal,3,0.2384,0.1827,0.2835,0.7633,0.6667,0.8406,0.3332,0.2703,0.3681,0.0,0.0,0.0,0.3333,0.0,1.0,0.1667,0.0,0.5,0.8851,0.7586,1.0,0.1111,0.0,0.3333
classical+generative,weighted_ce,3,0.2079,0.1774,0.2635,0.7923,0.7391,0.8406,0.2865,0.1969,0.3652,0.0,0.0,0.0,0.3333,0.0,1.0,0.0833,0.0,0.25,0.931,0.8448,1.0,0.0,0.0,0.0
classical+generative,balanced,3,0.1713,0.1391,0.1959,0.5072,0.3188,0.6522,0.2074,0.161,0.2649,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5632,0.3276,0.7414,0.1111,0.0,0.3333
classical+generative,focal,3,0.1821,0.181,0.1827,0.8358,0.8261,0.8406,0.3709,0.3524,0.3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943,0.9828,1.0,0.0,0.0,0.0
