arm,snr_db,n_seeds,macro_f1_mean,macro_f1_ci_lo,macro_f1_ci_hi,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,ece_mean,ece_ci_lo,ece_ci_hi,belly_pain_recall_mean,belly_pain_recall_ci_lo,belly_pain_recall_ci_hi,burping_recall_mean,burping_recall_ci_lo,burping_recall_ci_hi,discomfort_recall_mean,discomfort_recall_ci_lo,discomfort_recall_ci_hi,hungry_recall_mean,hungry_recall_ci_lo,hungry_recall_ci_hi,tired_recall_mean,tired_recall_ci_lo,tired_recall_ci_hi
baseline (none+weighted_ce),clean,3,0.1935,0.1785,0.22,0.7971,0.7826,0.8116,0.2852,0.2752,0.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.25,0.9425,0.931,0.9655,0.0,0.0,0.0
baseline (none+weighted_ce),20,3,0.1942,0.1803,0.22,0.8068,0.7971,0.8261,0.2752,0.2739,0.2774,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.25,0.954,0.931,0.9828,0.0,0.0,0.0
baseline (none+weighted_ce),10,3,0.1726,0.1292,0.2567,0.5459,0.3768,0.7826,0.2217,0.0964,0.361,0.1111,0.0,0.3333,0.3333,0.0,1.0,0.0,0.0,0.0,0.6379,0.431,0.9138,0.0,0.0,0.0
baseline (none+weighted_ce),5,3,0.0116,0.0063,0.0221,0.0193,0.0145,0.029,0.5239,0.3962,0.618,0.1111,0.0,0.3333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline (none+weighted_ce),0,3,0.0268,0.0167,0.0471,0.0483,0.0435,0.058,0.6171,0.3531,0.9315,0.8889,0.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.6667
generative+weighted_ce,clean,3,0.2575,0.1827,0.3631,0.8164,0.7826,0.8406,0.3519,0.3461,0.3601,0.0,0.0,0.0,0.6667,0.0,1.0,0.1667,0.0,0.5,0.9483,0.9138,1.0,0.0,0.0,0.0
generative+weighted_ce,20,3,0.2665,0.1827,0.3867,0.8309,0.7971,0.8551,0.3604,0.3478,0.3685,0.0,0.0,0.0,0.6667,0.0,1.0,0.1667,0.0,0.5,0.9655,0.931,1.0,0.0,0.0,0.0
generative+weighted_ce,10,3,0.1859,0.1827,0.1893,0.7875,0.6812,0.8406,0.3338,0.289,0.366,0.0,0.0,0.0,0.3333,0.0,1.0,0.0,0.0,0.0,0.931,0.7931,1.0,0.0,0.0,0.0
generative+weighted_ce,5,3,0.0767,0.0126,0.1738,0.2995,0.029,0.7681,0.5296,0.3648,0.7254,0.0,0.0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,0.3448,0.0172,0.9138,0.0,0.0,0.0
generative+weighted_ce,0,3,0.013,0.0057,0.0167,0.0338,0.0145,0.0435,0.6683,0.5203,0.9382,0.6667,0.0,1.0,0.3333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
