accuracy,aug_type,belly_pain_fnr,belly_pain_recall,best_val_macro_f1,burping_fnr,burping_recall,cell,discomfort_recall,ece,hungry_recall,macro_f1,recipe,seed,status,synth_ratio,tired_recall
0.8406,generative,1.0,0.0,0.1824,1.0,0.0,generative_weighted_ce_r3_s0,0.0,0.3461,1.0,0.1827,weighted_ce,0,ok,3,0.0
0.7826,generative,1.0,0.0,0.2618,0.0,1.0,generative_weighted_ce_r3_s1,0.0,0.3601,0.9138,0.2267,weighted_ce,1,ok,3,0.0
0.8261,generative,1.0,0.0,0.2467,0.0,1.0,generative_weighted_ce_r3_s2,0.5,0.3494,0.931,0.3631,weighted_ce,2,ok,3,0.0
0.5362,generative,1.0,0.0,0.2669,0.0,1.0,generative_balanced_r3_s0,0.5,0.2856,0.5862,0.2196,balanced,0,ok,3,0.0
0.7101,generative,1.0,0.0,0.1896,1.0,0.0,generative_balanced_r3_s1,0.25,0.1751,0.8276,0.197,balanced,1,ok,3,0.0
0.5072,generative,1.0,0.0,0.2002,1.0,0.0,generative_balanced_r3_s2,0.5,0.2164,0.569,0.1695,balanced,2,ok,3,0.0
0.8406,generative,1.0,0.0,0.3154,1.0,0.0,generative_focal_r3_s0,0.0,0.3681,1.0,0.1827,focal,0,ok,3,0.0
0.6667,generative,1.0,0.0,0.2636,0.0,1.0,generative_focal_r3_s1,0.0,0.2703,0.7586,0.2835,focal,1,ok,3,0.3333
0.7826,generative,1.0,0.0,0.2415,1.0,0.0,generative_focal_r3_s2,0.5,0.3613,0.8966,0.249,focal,2,ok,3,0.0
0.8406,classical+generative,1.0,0.0,0.3839,1.0,0.0,classical-generative_weighted_ce_r3_s0,0.0,0.2974,1.0,0.1827,weighted_ce,0,ok,3,0.0
0.7971,classical+generative,1.0,0.0,0.1839,1.0,0.0,classical-generative_weighted_ce_r3_s1,0.0,0.1969,0.9483,0.1774,weighted_ce,1,ok,3,0.0
0.7391,classical+generative,1.0,0.0,0.3091,0.0,1.0,classical-generative_weighted_ce_r3_s2,0.25,0.3652,0.8448,0.2635,weighted_ce,2,ok,3,0.0
0.3188,classical+generative,1.0,0.0,0.3443,1.0,0.0,classical-generative_balanced_r3_s0,0.5,0.2649,0.3276,0.1391,balanced,0,ok,3,0.3333
0.5507,classical+generative,1.0,0.0,0.4021,1.0,0.0,classical-generative_balanced_r3_s1,0.5,0.1962,0.6207,0.1788,balanced,1,ok,3,0.0
0.6522,classical+generative,1.0,0.0,0.1857,1.0,0.0,classical-generative_balanced_r3_s2,0.5,0.161,0.7414,0.1959,balanced,2,ok,3,0.0
0.8261,classical+generative,1.0,0.0,0.3839,1.0,0.0,classical-generative_focal_r3_s0,0.0,0.3794,0.9828,0.181,focal,0,ok,3,0.0
0.8406,classical+generative,1.0,0.0,0.1824,1.0,0.0,classical-generative_focal_r3_s1,0.0,0.3524,1.0,0.1827,focal,1,ok,3,0.0
0.8406,classical+generative,1.0,0.0,0.3839,1.0,0.0,classical-generative_focal_r3_s2,0.0,0.3809,1.0,0.1827,focal,2,ok,3,0.0
