aug_type,recipe,synth_ratio,n_seeds,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,ece_mean,ece_std,belly_pain_recall_mean,belly_pain_recall_std,burping_recall_mean,burping_recall_std,discomfort_recall_mean,discomfort_recall_std,hungry_recall_mean,hungry_recall_std,tired_recall_mean,tired_recall_std
none,weighted_ce,0,3,0.1935,0.023,0.7971,0.0145,0.2852,0.009,0.0,0.0,0.0,0.0,0.0833,0.1443,0.9425,0.0199,0.0,0.0
none,balanced,0,3,0.1913,0.0373,0.5072,0.058,0.2011,0.1095,0.1111,0.1924,0.0,0.0,0.5,0.0,0.5632,0.0697,0.0,0.0
none,focal,0,3,0.2126,0.0323,0.7874,0.0221,0.354,0.0368,0.0,0.0,0.0,0.0,0.25,0.25,0.9196,0.0263,0.0,0.0
classical,weighted_ce,0,3,0.1799,0.0048,0.8068,0.0586,0.4177,0.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.9598,0.0697,0.0,0.0
classical,balanced,0,3,0.205,0.0365,0.6377,0.1288,0.2852,0.0907,0.0,0.0,0.0,0.0,0.3333,0.1443,0.7299,0.1602,0.1111,0.1924
classical,focal,0,3,0.1866,0.0129,0.7778,0.0443,0.3448,0.0563,0.0,0.0,0.0,0.0,0.0833,0.1443,0.9196,0.0606,0.0,0.0
generative,weighted_ce,3,3,0.2575,0.0941,0.8164,0.0302,0.3519,0.0073,0.0,0.0,0.6667,0.5774,0.1667,0.2887,0.9483,0.0456,0.0,0.0
generative,balanced,3,3,0.1954,0.0251,0.5845,0.1097,0.2257,0.0558,0.0,0.0,0.3333,0.5774,0.4167,0.1443,0.6609,0.1446,0.0,0.0
generative,focal,3,3,0.2384,0.0512,0.7633,0.0885,0.3332,0.0546,0.0,0.0,0.3333,0.5774,0.1667,0.2887,0.8851,0.1211,0.1111,0.1924
classical+generative,weighted_ce,3,3,0.2079,0.0483,0.7923,0.0509,0.2865,0.0847,0.0,0.0,0.3333,0.5774,0.0833,0.1443,0.931,0.079,0.0,0.0
classical+generative,balanced,3,3,0.1713,0.0291,0.5072,0.1709,0.2074,0.0528,0.0,0.0,0.0,0.0,0.5,0.0,0.5632,0.2128,0.1111,0.1924
classical+generative,focal,3,3,0.1821,0.001,0.8358,0.0084,0.3709,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.9943,0.0099,0.0,0.0
