cell,snr_db,sigma,macro_f1,accuracy,ece,belly_pain_recall,burping_recall,discomfort_recall,hungry_recall,tired_recall
generative_weighted_ce_r3_s0,clean,0.0,0.1827,0.8406,0.3461,0.0,0.0,0.0,1.0,0.0
generative_weighted_ce_r3_s0,20,0.1,0.1827,0.8406,0.3478,0.0,0.0,0.0,1.0,0.0
generative_weighted_ce_r3_s0,10,0.3162,0.1827,0.8406,0.366,0.0,0.0,0.0,1.0,0.0
generative_weighted_ce_r3_s0,5,0.5623,0.1738,0.7681,0.3648,0.0,0.0,0.0,0.9138,0.0
generative_weighted_ce_r3_s0,0,1.0,0.0167,0.0435,0.5203,1.0,0.0,0.0,0.0,0.0
generative_weighted_ce_r3_s1,clean,0.0,0.2267,0.7826,0.3601,0.0,1.0,0.0,0.9138,0.0
generative_weighted_ce_r3_s1,20,0.1,0.23,0.7971,0.3649,0.0,1.0,0.0,0.931,0.0
generative_weighted_ce_r3_s1,10,0.3162,0.1893,0.6812,0.289,0.0,1.0,0.0,0.7931,0.0
generative_weighted_ce_r3_s1,5,0.5623,0.0126,0.029,0.7254,0.0,1.0,0.0,0.0172,0.0
generative_weighted_ce_r3_s1,0,1.0,0.0167,0.0435,0.5463,1.0,0.0,0.0,0.0,0.0
generative_weighted_ce_r3_s2,clean,0.0,0.3631,0.8261,0.3494,0.0,1.0,0.5,0.931,0.0
generative_weighted_ce_r3_s2,20,0.1,0.3867,0.8551,0.3685,0.0,1.0,0.5,0.9655,0.0
generative_weighted_ce_r3_s2,10,0.3162,0.1856,0.8406,0.3464,0.0,0.0,0.0,1.0,0.0
generative_weighted_ce_r3_s2,5,0.5623,0.0437,0.1014,0.4985,0.0,1.0,0.0,0.1034,0.0
generative_weighted_ce_r3_s2,0,1.0,0.0057,0.0145,0.9382,0.0,1.0,0.0,0.0,0.0
