cell,snr_db,sigma,macro_f1,accuracy,ece,belly_pain_recall,burping_recall,discomfort_recall,hungry_recall,tired_recall
none_weighted_ce_r0_s0,clean,0.0,0.22,0.7971,0.2876,0.0,0.0,0.25,0.931,0.0
none_weighted_ce_r0_s0,20,0.1,0.22,0.7971,0.2744,0.0,0.0,0.25,0.931,0.0
none_weighted_ce_r0_s0,10,0.3162,0.1292,0.3768,0.2076,0.0,1.0,0.0,0.431,0.0
none_weighted_ce_r0_s0,5,0.5623,0.0063,0.0145,0.618,0.0,1.0,0.0,0.0,0.0
none_weighted_ce_r0_s0,0,1.0,0.0471,0.058,0.3531,0.6667,0.0,0.0,0.0,0.6667
none_weighted_ce_r0_s1,clean,0.0,0.1821,0.8116,0.2752,0.0,0.0,0.0,0.9655,0.0
none_weighted_ce_r0_s1,20,0.1,0.1824,0.8261,0.2774,0.0,0.0,0.0,0.9828,0.0
none_weighted_ce_r0_s1,10,0.3162,0.132,0.4783,0.0964,0.0,0.0,0.0,0.569,0.0
none_weighted_ce_r0_s1,5,0.5623,0.0221,0.029,0.5575,0.3333,1.0,0.0,0.0,0.0
none_weighted_ce_r0_s1,0,1.0,0.0167,0.0435,0.9315,1.0,0.0,0.0,0.0,0.0
none_weighted_ce_r0_s2,clean,0.0,0.1785,0.7826,0.2927,0.0,0.0,0.0,0.931,0.0
none_weighted_ce_r0_s2,20,0.1,0.1803,0.7971,0.2739,0.0,0.0,0.0,0.9483,0.0
none_weighted_ce_r0_s2,10,0.3162,0.2567,0.7826,0.361,0.3333,0.0,0.0,0.9138,0.0
none_weighted_ce_r0_s2,5,0.5623,0.0065,0.0145,0.3962,0.0,1.0,0.0,0.0,0.0
none_weighted_ce_r0_s2,0,1.0,0.0167,0.0435,0.5668,1.0,0.0,0.0,0.0,0.0
